,Unnamed: 0,ru_word,ru_tag,token,en_word,syn_ratio,sem_ratio,translation,similarity
35,1013,инструмент,NOUN,instrument,instrument,100.0,1.0,tool,100.0
36,1017,пост,NOUN,post,post,100.0,1.0,fast,100.0
37,1035,секс,NOUN,sex,sex,100.0,1.0,sex,100.0
38,1080,эффект,NOUN,effect,effect,100.0,1.0,Effect,100.0
39,1084,риск,NOUN,risk,risk,100.0,1.0,risk,100.0
40,1090,партнер,NOUN,partner,partner,100.0,1.0,partner,100.0
41,1138,рад,ADJ,rad,rad,100.0,1.0,glad,100.0
42,1141,конфликт,NOUN,conflict,conflict,100.0,1.0,conflict,100.0
43,1179,радио,NOUN,radio,radio,100.0,1.0,radio,100.0
44,1197,эффективный,ADJ,effective,effective,100.0,1.0,effective,100.0
45,1214,газ,NOUN,gas,gas,100.0,1.0,gas,100.0
46,1225,контакт,NOUN,contact,contact,100.0,1.0,contact,100.0
47,1371,танк,NOUN,tank,tank,100.0,1.0,tank,100.0
48,1443,кризис,NOUN,crisis,crisis,100.0,1.0,a crisis,100.0
49,1464,индивидуальный,ADJ,individual,individual,100.0,1.0,individual,100.0
50,1467,концерт,NOUN,concert,concert,100.0,1.0,concert,100.0
51,1521,статус,NOUN,status,status,100.0,1.0,status,100.0
52,1543,бок,NOUN,boc,boc,100.0,1.0,side,100.0
53,1584,пациент,NOUN,patient,patient,100.0,1.0,patient,100.0
54,1595,лоб,NOUN,lob,lob,100.0,1.0,forehead,100.0
55,1601,спорт,NOUN,sport,sport,100.0,1.0,sport,100.0
56,1663,кредит,NOUN,credit,credit,100.0,1.0,credit,100.0
57,1705,секрет,NOUN,secret,secret,100.0,1.0,secret,100.0
58,1730,сектор,NOUN,sector,sector,100.0,1.0,sector,100.0
59,1864,интеллектуальный,ADJ,intellectual,intellectual,100.0,1.0,intellectual,100.0
60,1866,агент,NOUN,agent,agent,100.0,1.0,agent,100.0
61,1878,семинар,NOUN,seminar,seminar,100.0,1.0,seminar,100.0
62,1882,сервер,NOUN,server,server,100.0,1.0,server,100.0
63,1950,код,NOUN,cod,cod,100.0,1.0,code,100.0
64,1963,порт,NOUN,port,port,100.0,1.0,port,100.0
65,1974,темп,NOUN,temp,temp,100.0,1.0,pace,100.0
66,1998,аргумент,NOUN,argument,argument,100.0,1.0,argument,100.0
67,2012,формат,NOUN,format,format,100.0,1.0,format,100.0
68,2026,бомба,NOUN,bomb,bomb,100.0,1.0,bomb,100.0
69,2053,административный,ADJ,administrative,administrative,100.0,1.0,administrative,100.0
70,2060,контракт,NOUN,contract,contract,100.0,1.0,Contract,100.0
71,2061,диалог,NOUN,dialog,dialog,100.0,1.0,dialogue,100.0
72,2087,оператор,NOUN,operator,operator,100.0,1.0,operator,100.0
73,2138,протокол,NOUN,protocol,protocol,100.0,1.0,protocol,100.0
74,2181,тест,NOUN,test,test,100.0,1.0,test,100.0
75,2237,салон,NOUN,salon,salon,100.0,1.0,salon,100.0
76,2263,фестиваль,NOUN,festival,festival,100.0,1.0,festival,100.0
77,2290,антон,ADJ,anton,anton,100.0,1.0,anton,100.0
78,2309,корреспондент,NOUN,correspondent,correspondent,100.0,1.0,correspondent,100.0
79,2317,идеал,NOUN,ideal,ideal,100.0,1.0,ideal,100.0
80,2322,визит,NOUN,visit,visit,100.0,1.0,visit,100.0
81,2354,инвестор,NOUN,investor,investor,100.0,1.0,investor,100.0
82,2370,статистик,NOUN,statistic,statistic,100.0,1.0,statistician,100.0
83,2387,прогресс,NOUN,progress,progress,100.0,1.0,progress,100.0
84,2448,студия,NOUN,studio,studio,100.0,1.0,Studio,100.0
85,2467,компонент,NOUN,component,component,100.0,1.0,component,100.0
86,2494,процессор,NOUN,processor,processor,100.0,1.0,CPU,100.0
87,2536,платформа,NOUN,platform,platform,100.0,1.0,platform,100.0
88,2555,артист,NOUN,artist,artist,100.0,1.0,artist,100.0
89,2558,профессионал,NOUN,professional,professional,100.0,1.0,professional,100.0
90,2588,каталог,NOUN,catalog,catalog,100.0,1.0,catalog,100.0
91,2647,виртуальный,ADJ,virtual,virtual,100.0,1.0,virtual,100.0
92,2732,ад,NOUN,ad,ad,100.0,1.0,hell,100.0
93,2747,алкоголь,NOUN,alcohol,alcohol,100.0,1.0,alcohol,100.0
94,2764,скандал,NOUN,scandal,scandal,100.0,1.0,scandal,100.0
95,2806,монитор,NOUN,monitor,monitor,100.0,1.0,monitor,100.0
96,2816,лифт,NOUN,lift,lift,100.0,1.0,elevator,100.0
97,2822,флаг,NOUN,flag,flag,100.0,1.0,flag,100.0
98,2865,маркетинг,NOUN,marketing,marketing,100.0,1.0,marketing,100.0
99,2875,пилот,NOUN,pilot,pilot,100.0,1.0,pilot,100.0
100,2948,критик,NOUN,critic,critic,100.0,1.0,critic,100.0
101,3024,фрагмент,NOUN,fragment,fragment,100.0,1.0,fragment,100.0
102,3075,мисс,NOUN,miss,miss,100.0,1.0,miss,100.0
103,3132,видео,NOUN,video,video,100.0,1.0,video,100.0
104,3159,идиот,NOUN,idiot,idiot,100.0,1.0,idiot,100.0
105,3177,финал,NOUN,final,final,100.0,1.0,the final,100.0
106,3200,вирус,NOUN,virus,virus,100.0,1.0,virus,100.0
107,3233,мораль,NOUN,moral,moral,100.0,1.0,morality,100.0
108,3247,робот,NOUN,robot,robot,100.0,1.0,robot,100.0
109,3340,маркс,NOUN,marx,marx,100.0,1.0,Marx,100.0
110,3355,проспект,NOUN,prospect,prospect,100.0,1.0,avenue,100.0
111,3385,классный,ADJ,class,class,100.0,1.0,cool,100.0
112,3429,медаль,NOUN,medal,medal,100.0,1.0,medal,100.0
113,3446,акцент,NOUN,accent,accent,100.0,1.0,accent,100.0
114,3457,оптимальный,ADJ,optimal,optimal,100.0,1.0,optimal,100.0
115,3612,инспектор,NOUN,inspector,inspector,100.0,1.0,inspector,100.0
116,3644,администратор,NOUN,administrator,administrator,100.0,1.0,administrator,100.0
117,3665,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral,100.0
118,3682,панель,NOUN,panel,panel,100.0,1.0,panel,100.0
119,3768,диета,NOUN,diet,diet,100.0,1.0,diet,100.0
120,3782,коммунизм,NOUN,communism,communism,100.0,1.0,communism,100.0
121,3797,индекс,NOUN,index,index,100.0,1.0,index,100.0
122,3799,принцесса,NOUN,princess,princess,100.0,1.0,princess,100.0
123,3814,портал,NOUN,portal,portal,100.0,1.0,portal,100.0
124,3858,мент,NOUN,ment,ment,100.0,1.0,cop,100.0
125,3872,старт,NOUN,start,start,100.0,1.0,start,100.0
126,3892,клиника,NOUN,clinic,clinic,100.0,1.0,clinic,100.0
127,3910,календарь,NOUN,calendar,calendar,100.0,1.0,calendar,100.0
128,3924,поп,NOUN,pop,pop,100.0,1.0,pop,100.0
129,3940,ранг,NOUN,rang,rang,100.0,1.0,rank,100.0
130,4002,супер,ADJ,super,super,100.0,1.0,super,100.0
131,4014,сериал,NOUN,serial,serial,100.0,1.0,series,100.0
132,4049,терроризм,NOUN,terrorism,terrorism,100.0,1.0,terrorism,100.0
133,4073,экономист,NOUN,economist,economist,100.0,1.0,economist,100.0
134,4180,паника,NOUN,panic,panic,100.0,1.0,panic,100.0
135,4187,мат,NOUN,mat,mat,100.0,1.0,mat,100.0
136,4314,культ,NOUN,cult,cult,100.0,1.0,cult,100.0
137,4326,фантастика,NOUN,fantastic,fantastic,100.0,1.0,fantastic,100.0
138,4381,инструктор,NOUN,instructor,instructor,100.0,1.0,Instructor,100.0
139,4503,колледж,NOUN,college,college,100.0,1.0,college,100.0
140,4539,интенсивный,ADJ,intensive,intensive,100.0,1.0,intensive,100.0
141,4675,атом,NOUN,atom,atom,100.0,1.0,atom,100.0
142,4845,оргазм,NOUN,orgasm,orgasm,100.0,1.0,orgasm,100.0
143,4851,парадокс,NOUN,paradox,paradox,100.0,1.0,paradox,100.0
144,4910,аукцион,NOUN,auction,auction,100.0,1.0,auction,100.0
145,5084,классик,NOUN,classic,classic,100.0,1.0,classic,100.0
146,5160,мониторинг,NOUN,monitoring,monitoring,100.0,1.0,monitoring,100.0
147,5178,принтер,NOUN,printer,printer,100.0,1.0,Printer,100.0
148,5276,интервал,VERB,interval,interval,100.0,1.0,interval,100.0
149,5370,полярный,ADJ,polar,polar,100.0,1.0,polar,100.0
150,5408,конструктивный,ADJ,constructive,constructive,100.0,1.0,constructive,100.0
151,5470,референдум,NOUN,referendum,referendum,100.0,1.0,referendum,100.0
152,5505,комфорт,NOUN,comfort,comfort,100.0,1.0,comfort,100.0
153,5563,стоп,NOUN,stop,stop,100.0,1.0,stop,100.0
154,5569,массивный,ADJ,massive,massive,100.0,1.0,massive,100.0
155,5573,патриот,NOUN,patriot,patriot,100.0,1.0,patriot,100.0
156,5707,оптимизм,NOUN,optimism,optimism,100.0,1.0,optimism,100.0
157,5876,лад,NOUN,lad,lad,100.0,1.0,fret,100.0
158,5918,арсенал,NOUN,arsenal,arsenal,100.0,1.0,arsenal,100.0
159,5949,арена,NOUN,arena,arena,100.0,1.0,arena,100.0
160,5997,дефект,NOUN,defect,defect,100.0,1.0,defect,100.0
161,6046,сенатор,NOUN,senator,senator,100.0,1.0,senator,100.0
162,6071,авто,NOUN,auto,auto,100.0,1.0,auto,100.0
163,6105,комплимент,NOUN,compliment,compliment,100.0,1.0,compliment,100.0
164,6136,консервативный,ADJ,conservative,conservative,100.0,1.0,conservative,100.0
165,6311,супермаркет,NOUN,supermarket,supermarket,100.0,1.0,supermarket,100.0
166,6333,вектор,NOUN,vector,vector,100.0,1.0,vector,100.0
167,6416,цент,NOUN,cent,cent,100.0,1.0,cent,100.0
168,6494,канон,ADJ,canon,canon,100.0,1.0,canon,100.0
169,6513,алкоголик,NOUN,alcoholic,alcoholic,100.0,1.0,alcoholic,100.0
170,6536,пульс,NOUN,pulse,pulse,100.0,1.0,pulse,100.0
171,6638,эльф,NOUN,elf,elf,100.0,1.0,elf,100.0
172,6748,контраст,VERB,contrast,contrast,100.0,1.0,contrast,100.0
173,6752,блог,NOUN,blog,blog,100.0,1.0,blog,100.0
174,6760,инсулин,NOUN,insulin,insulin,100.0,1.0,insulin,100.0
175,6828,активист,NOUN,activist,activist,100.0,1.0,activist,100.0
176,6854,радиус,NOUN,radius,radius,100.0,1.0,radius,100.0
177,6891,терминал,VERB,terminal,terminal,100.0,1.0,terminal,100.0
178,6894,туннель,NOUN,tunnel,tunnel,100.0,1.0,tunnel,100.0
179,6899,киоск,NOUN,kiosk,kiosk,100.0,1.0,kiosk,100.0
180,6906,финальный,ADJ,final,final,100.0,1.0,final,100.0
181,6919,компетентный,ADJ,competent,competent,100.0,1.0,competent,100.0
182,6967,кредитор,NOUN,creditor,creditor,100.0,1.0,creditor,100.0
183,7031,сперма,NOUN,sperm,sperm,100.0,1.0,sperm,100.0
184,7041,лазерный,ADJ,laser,laser,100.0,1.0,laser,100.0
185,7076,легион,NOUN,legion,legion,100.0,1.0,legion,100.0
186,7082,павильон,NOUN,pavilion,pavilion,100.0,1.0,pavilion,100.0
187,7138,репортёр,NOUN,reporter,reporter,100.0,1.0,the reporter,100.0
188,7193,координатор,NOUN,coordinator,coordinator,100.0,1.0,coordinator,100.0
189,7313,холдинг,NOUN,holding,holding,100.0,1.0,holding,100.0
190,7327,кондиционер,NOUN,conditioner,conditioner,100.0,1.0,air conditioner,100.0
191,7487,элегантный,ADJ,elegant,elegant,100.0,1.0,elegant,100.0
192,7492,рефлекс,NOUN,reflex,reflex,100.0,1.0,reflex,100.0
193,7497,форт,NOUN,fort,fort,100.0,1.0,fort,100.0
194,7605,педаль,NOUN,pedal,pedal,100.0,1.0,pedal,100.0
195,7624,бонус,NOUN,bonus,bonus,100.0,1.0,bonus,100.0
196,7634,спец,NOUN,spec,spec,100.0,1.0,specialist,100.0
197,7756,концептуальный,ADJ,conceptual,conceptual,100.0,1.0,conceptual,100.0
198,7856,компактный,ADJ,compact,compact,100.0,1.0,compact,100.0
199,7901,сс,NOUN,ss,ss,100.0,1.0,ss,100.0
200,7922,арт,NOUN,art,art,100.0,1.0,art,100.0
201,7948,лёт,NOUN,let,let,100.0,1.0,years,100.0
202,8049,радиоактивный,ADJ,radioactive,radioactive,100.0,1.0,radioactive,100.0
203,8103,патент,NOUN,patent,patent,100.0,1.0,patent,100.0
204,8112,теннис,NOUN,tennis,tennis,100.0,1.0,tennis,100.0
205,8119,отто,NOUN,otto,otto,100.0,1.0,otto,100.0
206,8164,пенис,NOUN,penis,penis,100.0,1.0,penis,100.0
207,8246,контроллер,NOUN,controller,controller,100.0,1.0,controller,100.0
208,8312,контингент,NOUN,contingent,contingent,100.0,1.0,contingent,100.0
209,8319,йога,NOUN,yoga,yoga,100.0,1.0,yoga,100.0
210,8502,лазер,NOUN,laser,laser,100.0,1.0,laser,100.0
211,8589,прецедент,NOUN,precedent,precedent,100.0,1.0,precedent,100.0
212,8675,интерактивный,ADJ,interactive,interactive,100.0,1.0,interactive,100.0
213,8733,пластик,NOUN,plastic,plastic,100.0,1.0,plastic,100.0
214,8736,ул,NOUN,ul,ul,100.0,1.0,st,100.0
215,8738,институциональный,ADJ,institutional,institutional,100.0,1.0,institutional,100.0
216,8817,баннер,NOUN,banner,banner,100.0,1.0,banner,100.0
217,8849,продуктивный,ADJ,productive,productive,100.0,1.0,productive,100.0
218,8947,мигрант,NOUN,migrant,migrant,100.0,1.0,migrant,100.0
219,8973,манифест,NOUN,manifest,manifest,100.0,1.0,manifesto,100.0
220,9016,тракт,NOUN,tract,tract,100.0,1.0,tract,100.0
221,9062,балтика,NOUN,baltic,baltic,100.0,1.0,baltic,100.0
222,9070,ментальный,ADJ,mental,mental,100.0,1.0,mental,100.0
223,9090,аудит,NOUN,audit,audit,100.0,1.0,audit,100.0
224,9257,аудио,NOUN,audio,audio,100.0,1.0,audio,100.0
225,9267,куб,NOUN,cub,cub,100.0,1.0,cube,100.0
226,9346,инструментальный,ADJ,instrumental,instrumental,100.0,1.0,instrumental,100.0
227,9566,эмблема,NOUN,emblem,emblem,100.0,1.0,emblem,100.0
228,9608,транзит,NOUN,transit,transit,100.0,1.0,transit,100.0
229,9717,номинальный,ADJ,nominal,nominal,100.0,1.0,nominal,100.0
230,9833,бункер,NOUN,bunker,bunker,100.0,1.0,bunker,100.0
231,9947,тренд,NOUN,trend,trend,100.0,1.0,trend,100.0
232,9982,брокер,NOUN,broker,broker,100.0,1.0,broker,100.0
233,10057,перс,NOUN,pers,pers,100.0,1.0,Persian,100.0
234,10143,оральный,ADJ,oral,oral,100.0,1.0,oral,100.0
235,10316,киллер,NOUN,killer,killer,100.0,1.0,killer,100.0
236,10578,кадет,NOUN,cadet,cadet,100.0,1.0,cadet,100.0
237,10727,лимит,NOUN,limit,limit,100.0,1.0,limit,100.0
238,10769,йогурт,NOUN,yogurt,yogurt,100.0,1.0,yogurt,100.0
239,10825,динозавр,NOUN,dinosaur,dinosaur,100.0,1.0,dinosaur,100.0
240,10873,минерал,NOUN,mineral,mineral,100.0,1.0,mineral,100.0
241,10958,депозит,VERB,deposit,deposit,100.0,1.0,deposit,100.0
242,11005,ватикан,NOUN,vatican,vatican,100.0,1.0,Vatican,100.0
243,11083,кактус,NOUN,cactus,cactus,100.0,1.0,cactus,100.0
244,11152,хостинг,NOUN,hosting,hosting,100.0,1.0,hosting,100.0
245,11357,сауна,NOUN,sauna,sauna,100.0,1.0,sauna,100.0
246,11417,телеком,ADJ,telecom,telecom,100.0,1.0,telecom,100.0
247,11455,артериальный,ADJ,arterial,arterial,100.0,1.0,arterial,100.0
248,11476,донор,NOUN,donor,donor,100.0,1.0,donor,100.0
249,11578,болт,NOUN,bolt,bolt,100.0,1.0,bolt,100.0
250,11616,пикник,NOUN,picnic,picnic,100.0,1.0,picnic,100.0
251,11709,дебют,NOUN,debut,debut,100.0,1.0,debut,100.0
252,11770,кратер,NOUN,crater,crater,100.0,1.0,crater,100.0
253,11858,цемент,NOUN,cement,cement,100.0,1.0,cement,100.0
254,11934,гольф,NOUN,golf,golf,100.0,1.0,golf,100.0
255,12084,краб,NOUN,crab,crab,100.0,1.0,crab,100.0
256,12228,консенсус,NOUN,consensus,consensus,100.0,1.0,consensus,100.0
257,12540,клик,NOUN,clic,clic,100.0,1.0,cry,100.0
258,12554,эротика,NOUN,erotic,erotic,100.0,1.0,erotica,100.0
259,12759,радар,NOUN,radar,radar,100.0,1.0,radar,100.0
260,12816,интегральный,ADJ,integral,integral,100.0,1.0,integral,100.0
261,12908,слоган,NOUN,slogan,slogan,100.0,1.0,tagline,100.0
262,12995,порно,NOUN,porno,porno,100.0,1.0,porn,100.0
263,13164,оазис,VERB,oasis,oasis,100.0,1.0,oasis,100.0
264,13178,инсульт,NOUN,insult,insult,100.0,1.0,stroke,100.0
265,13500,вокал,NOUN,vocal,vocal,100.0,1.0,vocals,100.0
266,13632,фатальный,ADJ,fatal,fatal,100.0,1.0,fatal,100.0
267,13736,викинг,NOUN,viking,viking,100.0,1.0,viking,100.0
268,14027,флирт,NOUN,flirt,flirt,100.0,1.0,flirting,100.0
269,14111,протон,NOUN,proton,proton,100.0,1.0,proton,100.0
270,14625,консорциум,NOUN,consortium,consortium,100.0,1.0,consortium,100.0
271,14751,непал,VERB,nepal,nepal,100.0,1.0,Nepal,100.0
272,15018,рене,NOUN,rene,rene,100.0,1.0,Rene,100.0
273,15089,дёр,NOUN,der,der,100.0,1.0,der,100.0
274,15121,коп,NOUN,cop,cop,100.0,1.0,cop,100.0
275,15145,детектор,NOUN,detector,detector,100.0,1.0,detector,100.0
276,15231,маргинальный,ADJ,marginal,marginal,100.0,1.0,marginal,100.0
277,15262,мотель,NOUN,motel,motel,100.0,1.0,motel,100.0
278,15530,рецептор,NOUN,receptor,receptor,100.0,1.0,receptor,100.0
279,15733,трагичный,ADJ,tragic,tragic,100.0,1.0,tragic,100.0
280,15938,компрессор,NOUN,compressor,compressor,100.0,1.0,compressor,100.0
281,15943,вето,NOUN,veto,veto,100.0,1.0,veto,100.0
282,15969,тенор,ADJ,tenor,tenor,100.0,1.0,tenor,100.0
283,16079,паскаль,NOUN,pascal,pascal,100.0,1.0,pascal,100.0
284,16283,навигатор,NOUN,navigator,navigator,100.0,1.0,navigator,100.0
285,16361,фискальный,ADJ,fiscal,fiscal,100.0,1.0,fiscal,100.0
286,16474,спектральный,ADJ,spectral,spectral,100.0,1.0,spectral,100.0
287,16554,инфо,NOUN,info,info,100.0,1.0,info,100.0
288,16572,квартет,NOUN,quartet,quartet,100.0,1.0,quartet,100.0
289,16682,горилла,NOUN,gorilla,gorilla,100.0,1.0,gorilla,100.0
290,17006,дить,VERB,dit,dit,100.0,1.0,live,100.0
291,17082,трио,NOUN,trio,trio,100.0,1.0,trio,100.0
292,17744,бан,NOUN,ban,ban,100.0,1.0,ban,100.0
293,18206,вакантный,ADJ,vacant,vacant,100.0,1.0,vacant,100.0
294,18418,вольт,NOUN,volt,volt,100.0,1.0,volt,100.0
295,18433,овал,VERB,oval,oval,100.0,1.0,oval,100.0
296,18677,карп,NOUN,carp,carp,100.0,1.0,carp,100.0
297,18897,тролль,NOUN,troll,troll,100.0,1.0,troll,100.0
298,19032,покер,NOUN,poker,poker,100.0,1.0,poker,100.0
299,19137,вибратор,NOUN,vibrator,vibrator,100.0,1.0,vibrator,100.0
300,19245,ротор,NOUN,rotor,rotor,100.0,1.0,rotor,100.0
301,19533,генезис,NOUN,genesis,genesis,100.0,1.0,genesis,100.0
302,19673,эскорт,NOUN,escort,escort,100.0,1.0,escort,100.0
303,19797,декодер,NOUN,decoder,decoder,100.0,1.0,decoder,100.0
304,20761,кастинг,NOUN,casting,casting,100.0,1.0,casting,100.0
305,20925,роб,NOUN,rob,rob,100.0,1.0,rob,100.0
306,21057,миля,NOUN,mil,mil,100.0,1.0,mile,100.0
307,21745,микс,NOUN,mix,mix,100.0,1.0,mix,100.0
308,21770,бластер,NOUN,blaster,blaster,100.0,1.0,blaster,100.0
309,21775,кольт,NOUN,colt,colt,100.0,1.0,Colt,100.0
310,21980,когорта,NOUN,cohort,cohort,100.0,1.0,cohort,100.0
311,22223,акробат,NOUN,acrobat,acrobat,100.0,1.0,acrobat,100.0
312,22378,аутизм,NOUN,autism,autism,100.0,1.0,autism,100.0
313,22819,дос,NOUN,dos,dos,100.0,1.0,dos,100.0
314,22929,аватар,NOUN,avatar,avatar,100.0,1.0,avatar,100.0
315,22996,вагинальный,VERB,vaginal,vaginal,100.0,1.0,vaginal,100.0
316,23195,конт,NOUN,cont,cont,100.0,1.0,cont,100.0
317,23279,локатор,NOUN,locator,locator,100.0,1.0,locator,100.0
318,23427,седан,NOUN,sedan,sedan,100.0,1.0,sedan,100.0
319,23491,приват,NOUN,privat,privat,100.0,1.0,private,100.0
320,23518,галс,NOUN,gals,gals,100.0,1.0,tack,100.0
321,23699,спиральный,ADJ,spiral,spiral,100.0,1.0,spiral,100.0
322,23700,рекс,NOUN,rex,rex,100.0,1.0,rex,100.0
323,24102,песо,NOUN,peso,peso,100.0,1.0,pesos,100.0
324,24235,статус,NOUN,status,status,100.0,1.0,status,100.0
325,24343,метрика,NOUN,metric,metric,100.0,1.0,metrics,100.0
326,24416,промо,NOUN,promo,promo,100.0,1.0,promo,100.0
327,24454,тестер,NOUN,tester,tester,100.0,1.0,tester,100.0
328,24797,постер,NOUN,poster,poster,100.0,1.0,poster,100.0
329,25068,тюнинг,NOUN,tuning,tuning,100.0,1.0,tuning,100.0
330,25085,био,NOUN,bio,bio,100.0,1.0,bio,100.0
331,25302,русс,ADJ,russ,russ,100.0,1.0,russ,100.0
332,25327,стартер,NOUN,starter,starter,100.0,1.0,starter,100.0
333,25581,фостер,NOUN,foster,foster,100.0,1.0,foster,100.0
334,25612,ретроспективный,ADJ,retrospective,retrospective,100.0,1.0,retrospective,100.0
335,25614,электро,NOUN,electro,electro,100.0,1.0,electro,100.0
336,25670,церебральный,ADJ,cerebral,cerebral,100.0,1.0,cerebral,100.0
337,26047,пигмент,NOUN,pigment,pigment,100.0,1.0,pigment,100.0
338,26275,гут,NOUN,gut,gut,100.0,1.0,gut,100.0
339,26403,рез,NOUN,res,res,100.0,1.0,cut,100.0
340,26922,дсп,NOUN,dsp,dsp,100.0,1.0,chipboard,100.0
341,27026,резистор,NOUN,resistor,resistor,100.0,1.0,resistor,100.0
342,27550,мото,NOUN,moto,moto,100.0,1.0,moto,100.0
343,27579,сион,NOUN,sion,sion,100.0,1.0,Zion,100.0
344,27824,слот,NOUN,slot,slot,100.0,1.0,slot,100.0
345,27961,градиент,NOUN,gradient,gradient,100.0,1.0,gradient,100.0
346,28081,галлон,NOUN,gallon,gallon,100.0,1.0,gallon,100.0
347,28300,экваториальный,ADJ,equatorial,equatorial,100.0,1.0,equatorial,100.0
348,28355,пол,NOUN,pol,pol,100.0,1.0,floor,100.0
349,28637,инсулин,NOUN,insulin,insulin,100.0,1.0,insulin,100.0
350,28846,эклектика,NOUN,eclectic,eclectic,100.0,1.0,eclecticism,100.0
351,29394,прод,NOUN,prod,prod,100.0,1.0,prod,100.0
352,29556,брутальный,ADJ,brutal,brutal,100.0,1.0,brutal,100.0
353,29696,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral,100.0
354,31119,коллаген,NOUN,collagen,collagen,100.0,1.0,collagen,100.0
355,31192,биомасса,NOUN,biomass,biomass,100.0,1.0,biomass,100.0
356,31722,рендеринг,NOUN,rendering,rendering,100.0,1.0,rendering,100.0
357,31860,банк,NOUN,bank,bank,100.0,1.0,bank,100.0
358,32211,интранет,VERB,intranet,intranet,100.0,1.0,intranet,100.0
359,32963,хост,NOUN,host,host,100.0,1.0,host,100.0
360,32989,лобстер,NOUN,lobster,lobster,100.0,1.0,lobster,100.0
361,33640,ремикс,NOUN,remix,remix,100.0,1.0,remix,100.0
362,33733,латекс,NOUN,latex,latex,100.0,1.0,latex,100.0
363,33830,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral,100.0
364,33865,минор,NOUN,minor,minor,100.0,1.0,minor,100.0
365,34277,дескриптор,NOUN,descriptor,descriptor,100.0,1.0,descriptor,100.0
366,35055,биос,VERB,bios,bios,100.0,1.0,bios,100.0
367,35080,роббинс,NOUN,robbins,robbins,100.0,1.0,robbins,100.0
368,35196,пентиум,NOUN,pentium,pentium,100.0,1.0,pentium,100.0
369,35443,прог,NOUN,prog,prog,100.0,1.0,prog,100.0
370,35809,вип,NOUN,vip,vip,100.0,1.0,vip,100.0
371,37723,акне,NOUN,acne,acne,100.0,1.0,acne,100.0
372,37728,аладдин,NOUN,aladdin,aladdin,100.0,1.0,aladdin,100.0
373,38100,пилатес,NOUN,pilates,pilates,100.0,1.0,Pilates,100.0
374,39088,оргазм,NOUN,orgasm,orgasm,100.0,1.0,orgasm,100.0
375,39130,дит,VERB,dit,dit,100.0,1.0,dit,100.0
376,39647,дент,NOUN,dent,dent,100.0,1.0,dent,100.0
377,40545,ент,NOUN,ent,ent,100.0,1.0,ent,100.0
378,40875,рекордер,NOUN,recorder,recorder,100.0,1.0,recorder,100.0
379,41085,иллюстратор,NOUN,illustrator,illustrator,100.0,1.0,illustrator,100.0
380,41279,родео,NOUN,rodeo,rodeo,100.0,1.0,rodeo,100.0
381,42983,стилус,NOUN,stylus,stylus,100.0,1.0,stylus,100.0
382,44401,диск,NOUN,disk,disk,100.0,1.0,disk,100.0
383,44679,регистрант,NOUN,registrant,registrant,100.0,1.0,registrant,100.0
