,Unnamed: 0,ru_word,ru_tag,token,en_word,syn_ratio,sem_ratio,translation
84,2448,студия,NOUN,studio,studio,100.0,1.0,Studio
85,2467,компонент,NOUN,component,component,100.0,1.0,component
86,2494,процессор,NOUN,processor,processor,100.0,1.0,CPU
87,2536,платформа,NOUN,platform,platform,100.0,1.0,platform
88,2555,артист,NOUN,artist,artist,100.0,1.0,artist
89,2558,профессионал,NOUN,professional,professional,100.0,1.0,professional
90,2588,каталог,NOUN,catalog,catalog,100.0,1.0,catalog
91,2647,виртуальный,ADJ,virtual,virtual,100.0,1.0,virtual
92,2732,ад,NOUN,ad,ad,100.0,1.0,hell
93,2747,алкоголь,NOUN,alcohol,alcohol,100.0,1.0,alcohol
94,2764,скандал,NOUN,scandal,scandal,100.0,1.0,scandal
95,2806,монитор,NOUN,monitor,monitor,100.0,1.0,monitor
96,2816,лифт,NOUN,lift,lift,100.0,1.0,elevator
97,2822,флаг,NOUN,flag,flag,100.0,1.0,flag
98,2865,маркетинг,NOUN,marketing,marketing,100.0,1.0,marketing
99,2875,пилот,NOUN,pilot,pilot,100.0,1.0,pilot
100,2948,критик,NOUN,critic,critic,100.0,1.0,critic
101,3024,фрагмент,NOUN,fragment,fragment,100.0,1.0,fragment
102,3075,мисс,NOUN,miss,miss,100.0,1.0,miss
103,3132,видео,NOUN,video,video,100.0,1.0,video
104,3159,идиот,NOUN,idiot,idiot,100.0,1.0,idiot
105,3177,финал,NOUN,final,final,100.0,1.0,the final
106,3200,вирус,NOUN,virus,virus,100.0,1.0,virus
107,3233,мораль,NOUN,moral,moral,100.0,1.0,morality
108,3247,робот,NOUN,robot,robot,100.0,1.0,robot
109,3340,маркс,NOUN,marx,marx,100.0,1.0,Marx
110,3355,проспект,NOUN,prospect,prospect,100.0,1.0,avenue
111,3385,классный,ADJ,class,class,100.0,1.0,cool
112,3429,медаль,NOUN,medal,medal,100.0,1.0,medal
113,3446,акцент,NOUN,accent,accent,100.0,1.0,accent
114,3457,оптимальный,ADJ,optimal,optimal,100.0,1.0,optimal
115,3612,инспектор,NOUN,inspector,inspector,100.0,1.0,inspector
116,3644,администратор,NOUN,administrator,administrator,100.0,1.0,administrator
117,3665,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral
118,3682,панель,NOUN,panel,panel,100.0,1.0,panel
119,3768,диета,NOUN,diet,diet,100.0,1.0,diet
120,3782,коммунизм,NOUN,communism,communism,100.0,1.0,communism
121,3797,индекс,NOUN,index,index,100.0,1.0,index
122,3799,принцесса,NOUN,princess,princess,100.0,1.0,princess
123,3814,портал,NOUN,portal,portal,100.0,1.0,portal
124,3858,мент,NOUN,ment,ment,100.0,1.0,cop
125,3872,старт,NOUN,start,start,100.0,1.0,start
126,3892,клиника,NOUN,clinic,clinic,100.0,1.0,clinic
127,3910,календарь,NOUN,calendar,calendar,100.0,1.0,calendar
128,3924,поп,NOUN,pop,pop,100.0,1.0,pop
129,3940,ранг,NOUN,rang,rang,100.0,1.0,rank
130,4002,супер,ADJ,super,super,100.0,1.0,super
131,4014,сериал,NOUN,serial,serial,100.0,1.0,series
132,4049,терроризм,NOUN,terrorism,terrorism,100.0,1.0,terrorism
133,4073,экономист,NOUN,economist,economist,100.0,1.0,economist
134,4180,паника,NOUN,panic,panic,100.0,1.0,panic
135,4187,мат,NOUN,mat,mat,100.0,1.0,mat
136,4314,культ,NOUN,cult,cult,100.0,1.0,cult
137,4326,фантастика,NOUN,fantastic,fantastic,100.0,1.0,fantastic
138,4381,инструктор,NOUN,instructor,instructor,100.0,1.0,Instructor
139,4503,колледж,NOUN,college,college,100.0,1.0,college
140,4539,интенсивный,ADJ,intensive,intensive,100.0,1.0,intensive
141,4675,атом,NOUN,atom,atom,100.0,1.0,atom
142,4845,оргазм,NOUN,orgasm,orgasm,100.0,1.0,orgasm
143,4851,парадокс,NOUN,paradox,paradox,100.0,1.0,paradox
144,4910,аукцион,NOUN,auction,auction,100.0,1.0,auction
145,5084,классик,NOUN,classic,classic,100.0,1.0,classic
146,5160,мониторинг,NOUN,monitoring,monitoring,100.0,1.0,monitoring
147,5178,принтер,NOUN,printer,printer,100.0,1.0,Printer
148,5276,интервал,VERB,interval,interval,100.0,1.0,interval
149,5370,полярный,ADJ,polar,polar,100.0,1.0,polar
150,5408,конструктивный,ADJ,constructive,constructive,100.0,1.0,constructive
151,5470,референдум,NOUN,referendum,referendum,100.0,1.0,referendum
152,5505,комфорт,NOUN,comfort,comfort,100.0,1.0,comfort
153,5563,стоп,NOUN,stop,stop,100.0,1.0,stop
154,5569,массивный,ADJ,massive,massive,100.0,1.0,massive
155,5573,патриот,NOUN,patriot,patriot,100.0,1.0,patriot
156,5707,оптимизм,NOUN,optimism,optimism,100.0,1.0,optimism
157,5876,лад,NOUN,lad,lad,100.0,1.0,fret
158,5918,арсенал,NOUN,arsenal,arsenal,100.0,1.0,arsenal
159,5949,арена,NOUN,arena,arena,100.0,1.0,arena
160,5997,дефект,NOUN,defect,defect,100.0,1.0,defect
161,6046,сенатор,NOUN,senator,senator,100.0,1.0,senator
162,6071,авто,NOUN,auto,auto,100.0,1.0,auto
163,6105,комплимент,NOUN,compliment,compliment,100.0,1.0,compliment
164,6136,консервативный,ADJ,conservative,conservative,100.0,1.0,conservative
165,6311,супермаркет,NOUN,supermarket,supermarket,100.0,1.0,supermarket
166,6333,вектор,NOUN,vector,vector,100.0,1.0,vector
167,6416,цент,NOUN,cent,cent,100.0,1.0,cent
168,6494,канон,ADJ,canon,canon,100.0,1.0,canon
169,6513,алкоголик,NOUN,alcoholic,alcoholic,100.0,1.0,alcoholic
170,6536,пульс,NOUN,pulse,pulse,100.0,1.0,pulse
171,6638,эльф,NOUN,elf,elf,100.0,1.0,elf
172,6748,контраст,VERB,contrast,contrast,100.0,1.0,contrast
173,6752,блог,NOUN,blog,blog,100.0,1.0,blog
174,6760,инсулин,NOUN,insulin,insulin,100.0,1.0,insulin
175,6828,активист,NOUN,activist,activist,100.0,1.0,activist
176,6854,радиус,NOUN,radius,radius,100.0,1.0,radius
177,6891,терминал,VERB,terminal,terminal,100.0,1.0,terminal
178,6894,туннель,NOUN,tunnel,tunnel,100.0,1.0,tunnel
179,6899,киоск,NOUN,kiosk,kiosk,100.0,1.0,kiosk
180,6906,финальный,ADJ,final,final,100.0,1.0,final
181,6919,компетентный,ADJ,competent,competent,100.0,1.0,competent
182,6967,кредитор,NOUN,creditor,creditor,100.0,1.0,creditor
183,7031,сперма,NOUN,sperm,sperm,100.0,1.0,sperm
184,7041,лазерный,ADJ,laser,laser,100.0,1.0,laser
185,7076,легион,NOUN,legion,legion,100.0,1.0,legion
186,7082,павильон,NOUN,pavilion,pavilion,100.0,1.0,pavilion
187,7138,репортёр,NOUN,reporter,reporter,100.0,1.0,the reporter
188,7193,координатор,NOUN,coordinator,coordinator,100.0,1.0,coordinator
189,7313,холдинг,NOUN,holding,holding,100.0,1.0,holding
190,7327,кондиционер,NOUN,conditioner,conditioner,100.0,1.0,air conditioner
191,7487,элегантный,ADJ,elegant,elegant,100.0,1.0,elegant
192,7492,рефлекс,NOUN,reflex,reflex,100.0,1.0,reflex
193,7497,форт,NOUN,fort,fort,100.0,1.0,fort
194,7605,педаль,NOUN,pedal,pedal,100.0,1.0,pedal
195,7624,бонус,NOUN,bonus,bonus,100.0,1.0,bonus
196,7634,спец,NOUN,spec,spec,100.0,1.0,specialist
197,7756,концептуальный,ADJ,conceptual,conceptual,100.0,1.0,conceptual
198,7856,компактный,ADJ,compact,compact,100.0,1.0,compact
199,7901,сс,NOUN,ss,ss,100.0,1.0,ss
200,7922,арт,NOUN,art,art,100.0,1.0,art
201,7948,лёт,NOUN,let,let,100.0,1.0,years
202,8049,радиоактивный,ADJ,radioactive,radioactive,100.0,1.0,radioactive
203,8103,патент,NOUN,patent,patent,100.0,1.0,patent
204,8112,теннис,NOUN,tennis,tennis,100.0,1.0,tennis
205,8119,отто,NOUN,otto,otto,100.0,1.0,otto
206,8164,пенис,NOUN,penis,penis,100.0,1.0,penis
207,8246,контроллер,NOUN,controller,controller,100.0,1.0,controller
208,8312,контингент,NOUN,contingent,contingent,100.0,1.0,contingent
209,8319,йога,NOUN,yoga,yoga,100.0,1.0,yoga
210,8502,лазер,NOUN,laser,laser,100.0,1.0,laser
211,8589,прецедент,NOUN,precedent,precedent,100.0,1.0,precedent
212,8675,интерактивный,ADJ,interactive,interactive,100.0,1.0,interactive
213,8733,пластик,NOUN,plastic,plastic,100.0,1.0,plastic
214,8736,ул,NOUN,ul,ul,100.0,1.0,st
215,8738,институциональный,ADJ,institutional,institutional,100.0,1.0,institutional
216,8817,баннер,NOUN,banner,banner,100.0,1.0,banner
217,8849,продуктивный,ADJ,productive,productive,100.0,1.0,productive
218,8947,мигрант,NOUN,migrant,migrant,100.0,1.0,migrant
219,8973,манифест,NOUN,manifest,manifest,100.0,1.0,manifesto
220,9016,тракт,NOUN,tract,tract,100.0,1.0,tract
221,9062,балтика,NOUN,baltic,baltic,100.0,1.0,baltic
222,9070,ментальный,ADJ,mental,mental,100.0,1.0,mental
223,9090,аудит,NOUN,audit,audit,100.0,1.0,audit
224,9257,аудио,NOUN,audio,audio,100.0,1.0,audio
225,9267,куб,NOUN,cub,cub,100.0,1.0,cube
226,9346,инструментальный,ADJ,instrumental,instrumental,100.0,1.0,instrumental
227,9566,эмблема,NOUN,emblem,emblem,100.0,1.0,emblem
228,9608,транзит,NOUN,transit,transit,100.0,1.0,transit
229,9717,номинальный,ADJ,nominal,nominal,100.0,1.0,nominal
230,9833,бункер,NOUN,bunker,bunker,100.0,1.0,bunker
231,9947,тренд,NOUN,trend,trend,100.0,1.0,trend
232,9982,брокер,NOUN,broker,broker,100.0,1.0,broker
233,10057,перс,NOUN,pers,pers,100.0,1.0,Persian
234,10143,оральный,ADJ,oral,oral,100.0,1.0,oral
235,10316,киллер,NOUN,killer,killer,100.0,1.0,killer
236,10578,кадет,NOUN,cadet,cadet,100.0,1.0,cadet
237,10727,лимит,NOUN,limit,limit,100.0,1.0,limit
238,10769,йогурт,NOUN,yogurt,yogurt,100.0,1.0,yogurt
239,10825,динозавр,NOUN,dinosaur,dinosaur,100.0,1.0,dinosaur
240,10873,минерал,NOUN,mineral,mineral,100.0,1.0,mineral
241,10958,депозит,VERB,deposit,deposit,100.0,1.0,deposit
242,11005,ватикан,NOUN,vatican,vatican,100.0,1.0,Vatican
243,11083,кактус,NOUN,cactus,cactus,100.0,1.0,cactus
244,11152,хостинг,NOUN,hosting,hosting,100.0,1.0,hosting
245,11357,сауна,NOUN,sauna,sauna,100.0,1.0,sauna
246,11417,телеком,ADJ,telecom,telecom,100.0,1.0,telecom
247,11455,артериальный,ADJ,arterial,arterial,100.0,1.0,arterial
248,11476,донор,NOUN,donor,donor,100.0,1.0,donor
249,11578,болт,NOUN,bolt,bolt,100.0,1.0,bolt
250,11616,пикник,NOUN,picnic,picnic,100.0,1.0,picnic
251,11709,дебют,NOUN,debut,debut,100.0,1.0,debut
252,11770,кратер,NOUN,crater,crater,100.0,1.0,crater
253,11858,цемент,NOUN,cement,cement,100.0,1.0,cement
254,11934,гольф,NOUN,golf,golf,100.0,1.0,golf
255,12084,краб,NOUN,crab,crab,100.0,1.0,crab
256,12228,консенсус,NOUN,consensus,consensus,100.0,1.0,consensus
257,12540,клик,NOUN,clic,clic,100.0,1.0,cry
258,12554,эротика,NOUN,erotic,erotic,100.0,1.0,erotica
259,12759,радар,NOUN,radar,radar,100.0,1.0,radar
260,12816,интегральный,ADJ,integral,integral,100.0,1.0,integral
261,12908,слоган,NOUN,slogan,slogan,100.0,1.0,tagline
262,12995,порно,NOUN,porno,porno,100.0,1.0,porn
263,13164,оазис,VERB,oasis,oasis,100.0,1.0,oasis
264,13178,инсульт,NOUN,insult,insult,100.0,1.0,stroke
265,13500,вокал,NOUN,vocal,vocal,100.0,1.0,vocals
266,13632,фатальный,ADJ,fatal,fatal,100.0,1.0,fatal
267,13736,викинг,NOUN,viking,viking,100.0,1.0,viking
268,14027,флирт,NOUN,flirt,flirt,100.0,1.0,flirting
269,14111,протон,NOUN,proton,proton,100.0,1.0,proton
270,14625,консорциум,NOUN,consortium,consortium,100.0,1.0,consortium
271,14751,непал,VERB,nepal,nepal,100.0,1.0,Nepal
272,15018,рене,NOUN,rene,rene,100.0,1.0,Rene
273,15089,дёр,NOUN,der,der,100.0,1.0,der
274,15121,коп,NOUN,cop,cop,100.0,1.0,cop
275,15145,детектор,NOUN,detector,detector,100.0,1.0,detector
276,15231,маргинальный,ADJ,marginal,marginal,100.0,1.0,marginal
277,15262,мотель,NOUN,motel,motel,100.0,1.0,motel
278,15530,рецептор,NOUN,receptor,receptor,100.0,1.0,receptor
279,15733,трагичный,ADJ,tragic,tragic,100.0,1.0,tragic
280,15938,компрессор,NOUN,compressor,compressor,100.0,1.0,compressor
281,15943,вето,NOUN,veto,veto,100.0,1.0,veto
282,15969,тенор,ADJ,tenor,tenor,100.0,1.0,tenor
283,16079,паскаль,NOUN,pascal,pascal,100.0,1.0,pascal
284,16283,навигатор,NOUN,navigator,navigator,100.0,1.0,navigator
285,16361,фискальный,ADJ,fiscal,fiscal,100.0,1.0,fiscal
286,16474,спектральный,ADJ,spectral,spectral,100.0,1.0,spectral
287,16554,инфо,NOUN,info,info,100.0,1.0,info
288,16572,квартет,NOUN,quartet,quartet,100.0,1.0,quartet
289,16682,горилла,NOUN,gorilla,gorilla,100.0,1.0,gorilla
290,17006,дить,VERB,dit,dit,100.0,1.0,live
291,17082,трио,NOUN,trio,trio,100.0,1.0,trio
292,17744,бан,NOUN,ban,ban,100.0,1.0,ban
293,18206,вакантный,ADJ,vacant,vacant,100.0,1.0,vacant
294,18418,вольт,NOUN,volt,volt,100.0,1.0,volt
295,18433,овал,VERB,oval,oval,100.0,1.0,oval
296,18677,карп,NOUN,carp,carp,100.0,1.0,carp
297,18897,тролль,NOUN,troll,troll,100.0,1.0,troll
298,19032,покер,NOUN,poker,poker,100.0,1.0,poker
299,19137,вибратор,NOUN,vibrator,vibrator,100.0,1.0,vibrator
300,19245,ротор,NOUN,rotor,rotor,100.0,1.0,rotor
301,19533,генезис,NOUN,genesis,genesis,100.0,1.0,genesis
302,19673,эскорт,NOUN,escort,escort,100.0,1.0,escort
303,19797,декодер,NOUN,decoder,decoder,100.0,1.0,decoder
304,20761,кастинг,NOUN,casting,casting,100.0,1.0,casting
305,20925,роб,NOUN,rob,rob,100.0,1.0,rob
306,21057,миля,NOUN,mil,mil,100.0,1.0,mile
307,21745,микс,NOUN,mix,mix,100.0,1.0,mix
308,21770,бластер,NOUN,blaster,blaster,100.0,1.0,blaster
309,21775,кольт,NOUN,colt,colt,100.0,1.0,Colt
310,21980,когорта,NOUN,cohort,cohort,100.0,1.0,cohort
311,22223,акробат,NOUN,acrobat,acrobat,100.0,1.0,acrobat
312,22378,аутизм,NOUN,autism,autism,100.0,1.0,autism
313,22819,дос,NOUN,dos,dos,100.0,1.0,dos
314,22929,аватар,NOUN,avatar,avatar,100.0,1.0,avatar
315,22996,вагинальный,VERB,vaginal,vaginal,100.0,1.0,vaginal
316,23195,конт,NOUN,cont,cont,100.0,1.0,cont
317,23279,локатор,NOUN,locator,locator,100.0,1.0,locator
318,23427,седан,NOUN,sedan,sedan,100.0,1.0,sedan
319,23491,приват,NOUN,privat,privat,100.0,1.0,private
320,23518,галс,NOUN,gals,gals,100.0,1.0,tack
321,23699,спиральный,ADJ,spiral,spiral,100.0,1.0,spiral
322,23700,рекс,NOUN,rex,rex,100.0,1.0,rex
323,24102,песо,NOUN,peso,peso,100.0,1.0,pesos
324,24235,статус,NOUN,status,status,100.0,1.0,status
325,24343,метрика,NOUN,metric,metric,100.0,1.0,metrics
326,24416,промо,NOUN,promo,promo,100.0,1.0,promo
327,24454,тестер,NOUN,tester,tester,100.0,1.0,tester
328,24797,постер,NOUN,poster,poster,100.0,1.0,poster
329,25068,тюнинг,NOUN,tuning,tuning,100.0,1.0,tuning
330,25085,био,NOUN,bio,bio,100.0,1.0,bio
331,25302,русс,ADJ,russ,russ,100.0,1.0,russ
332,25327,стартер,NOUN,starter,starter,100.0,1.0,starter
333,25581,фостер,NOUN,foster,foster,100.0,1.0,foster
334,25612,ретроспективный,ADJ,retrospective,retrospective,100.0,1.0,retrospective
335,25614,электро,NOUN,electro,electro,100.0,1.0,electro
336,25670,церебральный,ADJ,cerebral,cerebral,100.0,1.0,cerebral
337,26047,пигмент,NOUN,pigment,pigment,100.0,1.0,pigment
338,26275,гут,NOUN,gut,gut,100.0,1.0,gut
339,26403,рез,NOUN,res,res,100.0,1.0,cut
340,26922,дсп,NOUN,dsp,dsp,100.0,1.0,chipboard
341,27026,резистор,NOUN,resistor,resistor,100.0,1.0,resistor
342,27550,мото,NOUN,moto,moto,100.0,1.0,moto
343,27579,сион,NOUN,sion,sion,100.0,1.0,Zion
344,27824,слот,NOUN,slot,slot,100.0,1.0,slot
345,27961,градиент,NOUN,gradient,gradient,100.0,1.0,gradient
346,28081,галлон,NOUN,gallon,gallon,100.0,1.0,gallon
347,28300,экваториальный,ADJ,equatorial,equatorial,100.0,1.0,equatorial
348,28355,пол,NOUN,pol,pol,100.0,1.0,floor
349,28637,инсулин,NOUN,insulin,insulin,100.0,1.0,insulin
350,28846,эклектика,NOUN,eclectic,eclectic,100.0,1.0,eclecticism
351,29394,прод,NOUN,prod,prod,100.0,1.0,prod
352,29556,брутальный,ADJ,brutal,brutal,100.0,1.0,brutal
353,29696,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral
354,31119,коллаген,NOUN,collagen,collagen,100.0,1.0,collagen
355,31192,биомасса,NOUN,biomass,biomass,100.0,1.0,biomass
356,31722,рендеринг,NOUN,rendering,rendering,100.0,1.0,rendering
357,31860,банк,NOUN,bank,bank,100.0,1.0,bank
358,32211,интранет,VERB,intranet,intranet,100.0,1.0,intranet
359,32963,хост,NOUN,host,host,100.0,1.0,host
360,32989,лобстер,NOUN,lobster,lobster,100.0,1.0,lobster
361,33640,ремикс,NOUN,remix,remix,100.0,1.0,remix
362,33733,латекс,NOUN,latex,latex,100.0,1.0,latex
363,33830,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral
364,33865,минор,NOUN,minor,minor,100.0,1.0,minor
365,34277,дескриптор,NOUN,descriptor,descriptor,100.0,1.0,descriptor
366,35055,биос,VERB,bios,bios,100.0,1.0,bios
367,35080,роббинс,NOUN,robbins,robbins,100.0,1.0,robbins
368,35196,пентиум,NOUN,pentium,pentium,100.0,1.0,pentium
369,35443,прог,NOUN,prog,prog,100.0,1.0,prog
370,35809,вип,NOUN,vip,vip,100.0,1.0,vip
371,37723,акне,NOUN,acne,acne,100.0,1.0,acne
372,37728,аладдин,NOUN,aladdin,aladdin,100.0,1.0,aladdin
373,38100,пилатес,NOUN,pilates,pilates,100.0,1.0,Pilates
374,39088,оргазм,NOUN,orgasm,orgasm,100.0,1.0,orgasm
375,39130,дит,VERB,dit,dit,100.0,1.0,dit
376,39647,дент,NOUN,dent,dent,100.0,1.0,dent
377,40545,ент,NOUN,ent,ent,100.0,1.0,ent
378,40875,рекордер,NOUN,recorder,recorder,100.0,1.0,recorder
379,41085,иллюстратор,NOUN,illustrator,illustrator,100.0,1.0,illustrator
380,41279,родео,NOUN,rodeo,rodeo,100.0,1.0,rodeo
381,42983,стилус,NOUN,stylus,stylus,100.0,1.0,stylus
382,44401,диск,NOUN,disk,disk,100.0,1.0,disk
383,44679,регистрант,NOUN,registrant,registrant,100.0,1.0,registrant
384,45198,тик,NOUN,tic,tic,100.0,1.0,teak
385,45871,апплет,NOUN,applet,applet,100.0,1.0,applet
386,47131,подкаст,VERB,podcast,podcast,100.0,1.0,podcast
387,47334,пол,NOUN,pol,pol,100.0,1.0,floor
388,47545,дартс,NOUN,darts,darts,100.0,1.0,darts
389,48120,анс,NOUN,ans,ans,100.0,1.0,ans
390,48380,понг,NOUN,pong,pong,100.0,1.0,pong
391,48840,пикс,NOUN,pix,pix,100.0,1.0,pix
392,49005,кроссовер,NOUN,crossover,crossover,100.0,1.0,crossover
393,49047,брит,VERB,brit,brit,100.0,1.0,brit
394,49212,тонер,NOUN,toner,toner,100.0,1.0,toner
395,49250,эпсилон,NOUN,epsilon,epsilon,100.0,1.0,epsilon
396,49986,понтиак,VERB,pontiac,pontiac,100.0,1.0,pontiac
397,50228,флуоресцентный,VERB,fluorescent,fluorescent,100.0,1.0,fluorescent
398,51458,лего,ADJ,lego,lego,100.0,1.0,lego
399,51878,бургер,NOUN,burger,burger,100.0,1.0,burger
400,51961,монт,NOUN,mont,mont,100.0,1.0,mont
401,53114,призм,NOUN,prism,prism,100.0,1.0,prisms
402,53309,факторинг,NOUN,factoring,factoring,100.0,1.0,factoring
403,53616,опал,VERB,opal,opal,100.0,1.0,opal
404,53724,петерс,NOUN,peters,peters,100.0,1.0,peters
405,54704,стоп,NOUN,stop,stop,100.0,1.0,stop
406,57530,киоск,NOUN,kiosk,kiosk,100.0,1.0,kiosk
407,58433,отис,NOUN,otis,otis,100.0,1.0,otis
408,58688,клуб,NOUN,club,club,100.0,1.0,club
409,59061,инвазивный,ADJ,invasive,invasive,100.0,1.0,invasive
410,59326,флекс,NOUN,flex,flex,100.0,1.0,flex
411,59926,марриотт,NOUN,marriott,marriott,100.0,1.0,marriott
412,61196,ангело,VERB,angelo,angelo,100.0,1.0,angelo
413,61282,октет,VERB,octet,octet,100.0,1.0,octet
414,61472,аллегро,NOUN,allegro,allegro,100.0,1.0,allegro
415,61644,продукт,NOUN,product,product,100.0,1.0,product
416,61802,топлесс,NOUN,topless,topless,100.0,1.0,topless
417,61829,штамп,NOUN,stamp,stamp,100.0,1.0,stamp
418,64368,вент,NOUN,vent,vent,100.0,1.0,vent
419,64514,информ,NOUN,inform,inform,100.0,1.0,inform
420,64600,активизм,NOUN,activism,activism,100.0,1.0,activism
421,65646,тест,NOUN,test,test,100.0,1.0,test
422,37286,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral
423,40420,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral
425,50565,канон,NOUN,canon,canon,100.0,1.0,canon
426,5846,классик,NOUN,classic,classic,100.0,1.0,classic
427,24853,газ,NOUN,gas,gas,100.0,1.0,gas
428,59621,газ,NOUN,gas,gas,100.0,1.0,gas
430,58244,классик,NOUN,classic,classic,100.0,1.0,classic
431,24457,танк,NOUN,tank,tank,100.0,1.0,tank
433,64997,адмирал,NOUN,admiral,admiral,100.0,1.0,admiral
434,5723,трактор,NOUN,tractor,tractor,100.0,1.0,tractor
